"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2018-12","Dec-2018","IDX","Index","0","Units",,,100.6839,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2019-01","Jan-2019","IDX","Index","0","Units",,,100.4185,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2019-02","Feb-2019","IDX","Index","0","Units",,,100.1958,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2019-03","Mar-2019","IDX","Index","0","Units",,,100.0156,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2019-04","Apr-2019","IDX","Index","0","Units",,,99.96337,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2019-05","May-2019","IDX","Index","0","Units",,,99.93549,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2019-06","Jun-2019","IDX","Index","0","Units",,,99.8504,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2019-07","Jul-2019","IDX","Index","0","Units",,,99.8137,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2019-08","Aug-2019","IDX","Index","0","Units",,,99.82283,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2019-09","Sep-2019","IDX","Index","0","Units",,,99.75085,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2019-10","Oct-2019","IDX","Index","0","Units",,,99.59102,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2019-11","Nov-2019","IDX","Index","0","Units",,,99.49702,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2019-12","Dec-2019","IDX","Index","0","Units",,,99.48835,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units",,,99.51249,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units",,,99.52766,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units",,,99.3941,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2018-04","Apr-2018","IDX","Index","0","Units",,,100.8757,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2018-05","May-2018","IDX","Index","0","Units",,,100.8496,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2018-06","Jun-2018","IDX","Index","0","Units",,,100.8511,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2018-07","Jul-2018","IDX","Index","0","Units",,,100.9022,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2018-08","Aug-2018","IDX","Index","0","Units",,,101.0054,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2018-09","Sep-2018","IDX","Index","0","Units",,,101.0118,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2018-10","Oct-2018","IDX","Index","0","Units",,,100.8762,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2018-11","Nov-2018","IDX","Index","0","Units",,,100.7432,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2018-12","Dec-2018","IDX","Index","0","Units",,,100.655,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2019-01","Jan-2019","IDX","Index","0","Units",,,100.6847,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2019-02","Feb-2019","IDX","Index","0","Units",,,100.6766,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2019-03","Mar-2019","IDX","Index","0","Units",,,100.5644,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2019-04","Apr-2019","IDX","Index","0","Units",,,100.3444,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2019-05","May-2019","IDX","Index","0","Units",,,100.1525,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2019-06","Jun-2019","IDX","Index","0","Units",,,99.97585,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2019-07","Jul-2019","IDX","Index","0","Units",,,99.90227,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2019-08","Aug-2019","IDX","Index","0","Units",,,99.8343,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2019-09","Sep-2019","IDX","Index","0","Units",,,99.81725,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2019-10","Oct-2019","IDX","Index","0","Units",,,99.85272,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2019-11","Nov-2019","IDX","Index","0","Units",,,99.89246,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2019-12","Dec-2019","IDX","Index","0","Units",,,99.97646,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units",,,100.1353,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units",,,100.2138,,
